mix_path,first_speaker_path,second_speaker_path,duration
train\b0791587db13451ba8d63437fef1d19d\mix_audio.wav,train\b0791587db13451ba8d63437fef1d19d\first_speaker.wav,train\b0791587db13451ba8d63437fef1d19d\second_speaker.wav,17.0
train\d3877ebbcee9480d9a158a01490fd84e\mix_audio.wav,train\d3877ebbcee9480d9a158a01490fd84e\first_speaker.wav,train\d3877ebbcee9480d9a158a01490fd84e\second_speaker.wav,18.0
train\92fc63ae29604850b4e48f36df3686ea\mix_audio.wav,train\92fc63ae29604850b4e48f36df3686ea\first_speaker.wav,train\92fc63ae29604850b4e48f36df3686ea\second_speaker.wav,19.0
train\9302a9ca0d684c3d84022c039aaec7f1\mix_audio.wav,train\9302a9ca0d684c3d84022c039aaec7f1\first_speaker.wav,train\9302a9ca0d684c3d84022c039aaec7f1\second_speaker.wav,17.0
train\2e0f614613814717a092f900b8a51fe1\mix_audio.wav,train\2e0f614613814717a092f900b8a51fe1\first_speaker.wav,train\2e0f614613814717a092f900b8a51fe1\second_speaker.wav,17.0
train\afed87d86364480198498c38aa0562b1\mix_audio.wav,train\afed87d86364480198498c38aa0562b1\first_speaker.wav,train\afed87d86364480198498c38aa0562b1\second_speaker.wav,15.0
train\eec48b467f434d1d92dafc725fdb6c4e\mix_audio.wav,train\eec48b467f434d1d92dafc725fdb6c4e\first_speaker.wav,train\eec48b467f434d1d92dafc725fdb6c4e\second_speaker.wav,18.0
train\2f7b32303cee46aba9fe18b5adc2146f\mix_audio.wav,train\2f7b32303cee46aba9fe18b5adc2146f\first_speaker.wav,train\2f7b32303cee46aba9fe18b5adc2146f\second_speaker.wav,16.0
train\0e462707a46b4792b37761216456db4f\mix_audio.wav,train\0e462707a46b4792b37761216456db4f\first_speaker.wav,train\0e462707a46b4792b37761216456db4f\second_speaker.wav,18.0
train\4b4e3af6fc394b4b9cb0bba554d51126\mix_audio.wav,train\4b4e3af6fc394b4b9cb0bba554d51126\first_speaker.wav,train\4b4e3af6fc394b4b9cb0bba554d51126\second_speaker.wav,19.0
train\923906d39ce44aebab59a948a0a2043f\mix_audio.wav,train\923906d39ce44aebab59a948a0a2043f\first_speaker.wav,train\923906d39ce44aebab59a948a0a2043f\second_speaker.wav,15.0
train\39c72fdd67264c57a28db36e37a50dcc\mix_audio.wav,train\39c72fdd67264c57a28db36e37a50dcc\first_speaker.wav,train\39c72fdd67264c57a28db36e37a50dcc\second_speaker.wav,16.0
train\a36b8c8f59c043598fb9b0454bcfa920\mix_audio.wav,train\a36b8c8f59c043598fb9b0454bcfa920\first_speaker.wav,train\a36b8c8f59c043598fb9b0454bcfa920\second_speaker.wav,20.0
train\4979fa5a39124ce4a0dbc6df2b2c4fce\mix_audio.wav,train\4979fa5a39124ce4a0dbc6df2b2c4fce\first_speaker.wav,train\4979fa5a39124ce4a0dbc6df2b2c4fce\second_speaker.wav,16.0
train\63b43f5013384e43a9c1e96171e3864f\mix_audio.wav,train\63b43f5013384e43a9c1e96171e3864f\first_speaker.wav,train\63b43f5013384e43a9c1e96171e3864f\second_speaker.wav,17.0
train\fbeffb21dcc94d5abd556c8858bb9e3b\mix_audio.wav,train\fbeffb21dcc94d5abd556c8858bb9e3b\first_speaker.wav,train\fbeffb21dcc94d5abd556c8858bb9e3b\second_speaker.wav,15.0
train\34d57a164f354b59b0992c7b04686b3d\mix_audio.wav,train\34d57a164f354b59b0992c7b04686b3d\first_speaker.wav,train\34d57a164f354b59b0992c7b04686b3d\second_speaker.wav,17.0
train\acea765bb0744bb9aed2731da0f61498\mix_audio.wav,train\acea765bb0744bb9aed2731da0f61498\first_speaker.wav,train\acea765bb0744bb9aed2731da0f61498\second_speaker.wav,20.0
train\e7a218e9e9cf48cfa7adad969c5071f8\mix_audio.wav,train\e7a218e9e9cf48cfa7adad969c5071f8\first_speaker.wav,train\e7a218e9e9cf48cfa7adad969c5071f8\second_speaker.wav,20.0
train\c81f7751b3934082941d0dcfc00eee5e\mix_audio.wav,train\c81f7751b3934082941d0dcfc00eee5e\first_speaker.wav,train\c81f7751b3934082941d0dcfc00eee5e\second_speaker.wav,16.0
train\1c73e259eedb4cc8b72b554963c12eaa\mix_audio.wav,train\1c73e259eedb4cc8b72b554963c12eaa\first_speaker.wav,train\1c73e259eedb4cc8b72b554963c12eaa\second_speaker.wav,19.0
train\9a8c01ef33ce4340985edffeb5f14e1f\mix_audio.wav,train\9a8c01ef33ce4340985edffeb5f14e1f\first_speaker.wav,train\9a8c01ef33ce4340985edffeb5f14e1f\second_speaker.wav,17.0
train\d293f6f0d265429795b253ab0d7543a8\mix_audio.wav,train\d293f6f0d265429795b253ab0d7543a8\first_speaker.wav,train\d293f6f0d265429795b253ab0d7543a8\second_speaker.wav,17.0
train\425788f63e2c489fbc3bf385934c4ea6\mix_audio.wav,train\425788f63e2c489fbc3bf385934c4ea6\first_speaker.wav,train\425788f63e2c489fbc3bf385934c4ea6\second_speaker.wav,15.0
train\ba102c9dfdcd4c50a5bd10d88f233c12\mix_audio.wav,train\ba102c9dfdcd4c50a5bd10d88f233c12\first_speaker.wav,train\ba102c9dfdcd4c50a5bd10d88f233c12\second_speaker.wav,16.0
train\09543463aed2436c9a4e27216d22901e\mix_audio.wav,train\09543463aed2436c9a4e27216d22901e\first_speaker.wav,train\09543463aed2436c9a4e27216d22901e\second_speaker.wav,20.0
train\2c347caeb5f149f0897e36a18819411d\mix_audio.wav,train\2c347caeb5f149f0897e36a18819411d\first_speaker.wav,train\2c347caeb5f149f0897e36a18819411d\second_speaker.wav,16.0
train\1d9e728bfce44137b3a7cf580d3af488\mix_audio.wav,train\1d9e728bfce44137b3a7cf580d3af488\first_speaker.wav,train\1d9e728bfce44137b3a7cf580d3af488\second_speaker.wav,16.0
train\1b96ea4a2cb8460ca50f18f9a5451085\mix_audio.wav,train\1b96ea4a2cb8460ca50f18f9a5451085\first_speaker.wav,train\1b96ea4a2cb8460ca50f18f9a5451085\second_speaker.wav,16.0
train\1722edfbbf6f4ded8148fe5edb205bcc\mix_audio.wav,train\1722edfbbf6f4ded8148fe5edb205bcc\first_speaker.wav,train\1722edfbbf6f4ded8148fe5edb205bcc\second_speaker.wav,19.0
train\d0a646086bcd490eaaae7db9eed257f6\mix_audio.wav,train\d0a646086bcd490eaaae7db9eed257f6\first_speaker.wav,train\d0a646086bcd490eaaae7db9eed257f6\second_speaker.wav,20.0
train\727824195797485bba660c302680ff41\mix_audio.wav,train\727824195797485bba660c302680ff41\first_speaker.wav,train\727824195797485bba660c302680ff41\second_speaker.wav,20.0
train\18caf3f9d51f498d808253a9abc95b5b\mix_audio.wav,train\18caf3f9d51f498d808253a9abc95b5b\first_speaker.wav,train\18caf3f9d51f498d808253a9abc95b5b\second_speaker.wav,15.0
train\4797a3ea55d94f658f47bac3f32fb2be\mix_audio.wav,train\4797a3ea55d94f658f47bac3f32fb2be\first_speaker.wav,train\4797a3ea55d94f658f47bac3f32fb2be\second_speaker.wav,16.0
train\ec191107ae8c42e5be830f680a34917a\mix_audio.wav,train\ec191107ae8c42e5be830f680a34917a\first_speaker.wav,train\ec191107ae8c42e5be830f680a34917a\second_speaker.wav,16.0
train\ef28db5a822c4626a38b7c4bebb3a201\mix_audio.wav,train\ef28db5a822c4626a38b7c4bebb3a201\first_speaker.wav,train\ef28db5a822c4626a38b7c4bebb3a201\second_speaker.wav,15.0
train\d82295612de24f6bac94d7c76ab741f6\mix_audio.wav,train\d82295612de24f6bac94d7c76ab741f6\first_speaker.wav,train\d82295612de24f6bac94d7c76ab741f6\second_speaker.wav,16.0
train\2817967582ac48c8a5098bdf75661498\mix_audio.wav,train\2817967582ac48c8a5098bdf75661498\first_speaker.wav,train\2817967582ac48c8a5098bdf75661498\second_speaker.wav,17.0
train\d11d216916b64e949ce89dab2f46525d\mix_audio.wav,train\d11d216916b64e949ce89dab2f46525d\first_speaker.wav,train\d11d216916b64e949ce89dab2f46525d\second_speaker.wav,18.0
train\42970e846d3a4cd4a9b0037e2544ef56\mix_audio.wav,train\42970e846d3a4cd4a9b0037e2544ef56\first_speaker.wav,train\42970e846d3a4cd4a9b0037e2544ef56\second_speaker.wav,17.0
train\8ee15566ee1c4f668ceddf7b150ed5e2\mix_audio.wav,train\8ee15566ee1c4f668ceddf7b150ed5e2\first_speaker.wav,train\8ee15566ee1c4f668ceddf7b150ed5e2\second_speaker.wav,15.0
train\0d4958f7de0f4916a1acf8e926fa3918\mix_audio.wav,train\0d4958f7de0f4916a1acf8e926fa3918\first_speaker.wav,train\0d4958f7de0f4916a1acf8e926fa3918\second_speaker.wav,19.0
train\e09fcf0bdae149ea96e6ef7dfc39e699\mix_audio.wav,train\e09fcf0bdae149ea96e6ef7dfc39e699\first_speaker.wav,train\e09fcf0bdae149ea96e6ef7dfc39e699\second_speaker.wav,17.0
train\c052a48865c84430bd2262b96bae101a\mix_audio.wav,train\c052a48865c84430bd2262b96bae101a\first_speaker.wav,train\c052a48865c84430bd2262b96bae101a\second_speaker.wav,18.0
train\4bc07e7a59604816811c71bc0fdb6adc\mix_audio.wav,train\4bc07e7a59604816811c71bc0fdb6adc\first_speaker.wav,train\4bc07e7a59604816811c71bc0fdb6adc\second_speaker.wav,19.0
train\2fc9bc99779b49e99f2188ef89378984\mix_audio.wav,train\2fc9bc99779b49e99f2188ef89378984\first_speaker.wav,train\2fc9bc99779b49e99f2188ef89378984\second_speaker.wav,16.0
train\0ecc346133db42949185187527638fa4\mix_audio.wav,train\0ecc346133db42949185187527638fa4\first_speaker.wav,train\0ecc346133db42949185187527638fa4\second_speaker.wav,16.0
train\e6e2124d835f48559329c52a8f5a2ece\mix_audio.wav,train\e6e2124d835f48559329c52a8f5a2ece\first_speaker.wav,train\e6e2124d835f48559329c52a8f5a2ece\second_speaker.wav,18.0
train\9d4c3836bb864584a0e9c78482f62c6b\mix_audio.wav,train\9d4c3836bb864584a0e9c78482f62c6b\first_speaker.wav,train\9d4c3836bb864584a0e9c78482f62c6b\second_speaker.wav,17.0
train\dc7e25c0df564abcaae12f8e3a1e7e0f\mix_audio.wav,train\dc7e25c0df564abcaae12f8e3a1e7e0f\first_speaker.wav,train\dc7e25c0df564abcaae12f8e3a1e7e0f\second_speaker.wav,16.0
train\3c5a24ad0d58455a97435ed918b307b6\mix_audio.wav,train\3c5a24ad0d58455a97435ed918b307b6\first_speaker.wav,train\3c5a24ad0d58455a97435ed918b307b6\second_speaker.wav,20.0
train\f2205d5701db48d8b3d543150821e327\mix_audio.wav,train\f2205d5701db48d8b3d543150821e327\first_speaker.wav,train\f2205d5701db48d8b3d543150821e327\second_speaker.wav,17.0
train\3a9bea984353404281fdee2e2a82d16b\mix_audio.wav,train\3a9bea984353404281fdee2e2a82d16b\first_speaker.wav,train\3a9bea984353404281fdee2e2a82d16b\second_speaker.wav,18.0
train\6d810292871844fcba530a3a131e2b92\mix_audio.wav,train\6d810292871844fcba530a3a131e2b92\first_speaker.wav,train\6d810292871844fcba530a3a131e2b92\second_speaker.wav,20.0
train\50d9ad4de7564a85b26d11e7e5629d7a\mix_audio.wav,train\50d9ad4de7564a85b26d11e7e5629d7a\first_speaker.wav,train\50d9ad4de7564a85b26d11e7e5629d7a\second_speaker.wav,17.0
train\3aaeb8bd23b844a3bc1b8d9f047cfb15\mix_audio.wav,train\3aaeb8bd23b844a3bc1b8d9f047cfb15\first_speaker.wav,train\3aaeb8bd23b844a3bc1b8d9f047cfb15\second_speaker.wav,15.0
train\02e9aee00ca84d40ae8136e19385f39c\mix_audio.wav,train\02e9aee00ca84d40ae8136e19385f39c\first_speaker.wav,train\02e9aee00ca84d40ae8136e19385f39c\second_speaker.wav,18.0
train\0f7af1210b7b423496fbce76e4baca34\mix_audio.wav,train\0f7af1210b7b423496fbce76e4baca34\first_speaker.wav,train\0f7af1210b7b423496fbce76e4baca34\second_speaker.wav,20.0
train\cdec735343944c2b92090cc8f9053dc0\mix_audio.wav,train\cdec735343944c2b92090cc8f9053dc0\first_speaker.wav,train\cdec735343944c2b92090cc8f9053dc0\second_speaker.wav,17.0
train\cae65e9d3c794944a51b1183da30455b\mix_audio.wav,train\cae65e9d3c794944a51b1183da30455b\first_speaker.wav,train\cae65e9d3c794944a51b1183da30455b\second_speaker.wav,16.0
train\2d675aafb2dd428282955422be8db644\mix_audio.wav,train\2d675aafb2dd428282955422be8db644\first_speaker.wav,train\2d675aafb2dd428282955422be8db644\second_speaker.wav,15.0
train\4a2864b6fb284fc6b9f4280c09bd27be\mix_audio.wav,train\4a2864b6fb284fc6b9f4280c09bd27be\first_speaker.wav,train\4a2864b6fb284fc6b9f4280c09bd27be\second_speaker.wav,15.0
train\dafadef2055c46eeb3ad427d7492b650\mix_audio.wav,train\dafadef2055c46eeb3ad427d7492b650\first_speaker.wav,train\dafadef2055c46eeb3ad427d7492b650\second_speaker.wav,20.0
train\07cd4aeeaade4844aeeed1b9315d63c2\mix_audio.wav,train\07cd4aeeaade4844aeeed1b9315d63c2\first_speaker.wav,train\07cd4aeeaade4844aeeed1b9315d63c2\second_speaker.wav,18.0
train\2df81e294f254b36ac7f0405cf7104b3\mix_audio.wav,train\2df81e294f254b36ac7f0405cf7104b3\first_speaker.wav,train\2df81e294f254b36ac7f0405cf7104b3\second_speaker.wav,17.0
train\9d0a037005cb4a4f91131cc4c1396c52\mix_audio.wav,train\9d0a037005cb4a4f91131cc4c1396c52\first_speaker.wav,train\9d0a037005cb4a4f91131cc4c1396c52\second_speaker.wav,15.0
train\fe8b7cd443f845c49c69f86645103048\mix_audio.wav,train\fe8b7cd443f845c49c69f86645103048\first_speaker.wav,train\fe8b7cd443f845c49c69f86645103048\second_speaker.wav,19.0
train\fef3c04ae4cd4708a285ef6b170bbcc3\mix_audio.wav,train\fef3c04ae4cd4708a285ef6b170bbcc3\first_speaker.wav,train\fef3c04ae4cd4708a285ef6b170bbcc3\second_speaker.wav,16.0
train\e7f5eeadaec64e0fb1505d1054455ecd\mix_audio.wav,train\e7f5eeadaec64e0fb1505d1054455ecd\first_speaker.wav,train\e7f5eeadaec64e0fb1505d1054455ecd\second_speaker.wav,17.0
train\d6836b2bc0e54c569819dc57333d6739\mix_audio.wav,train\d6836b2bc0e54c569819dc57333d6739\first_speaker.wav,train\d6836b2bc0e54c569819dc57333d6739\second_speaker.wav,17.0
train\a7737804148e473faac60240d0d76811\mix_audio.wav,train\a7737804148e473faac60240d0d76811\first_speaker.wav,train\a7737804148e473faac60240d0d76811\second_speaker.wav,20.0
train\86fde58148bd48bdac53a82ddfc50e08\mix_audio.wav,train\86fde58148bd48bdac53a82ddfc50e08\first_speaker.wav,train\86fde58148bd48bdac53a82ddfc50e08\second_speaker.wav,18.0
train\d0e72b41c25c4f7fb4cfd3d339e593c9\mix_audio.wav,train\d0e72b41c25c4f7fb4cfd3d339e593c9\first_speaker.wav,train\d0e72b41c25c4f7fb4cfd3d339e593c9\second_speaker.wav,15.0
train\4e877d00f9b94b3692a5317be7c1f1e6\mix_audio.wav,train\4e877d00f9b94b3692a5317be7c1f1e6\first_speaker.wav,train\4e877d00f9b94b3692a5317be7c1f1e6\second_speaker.wav,20.0
train\b0d2a81e81d94c049297919a0d88f377\mix_audio.wav,train\b0d2a81e81d94c049297919a0d88f377\first_speaker.wav,train\b0d2a81e81d94c049297919a0d88f377\second_speaker.wav,18.0
train\385500f212a442cd944c89c8200476e5\mix_audio.wav,train\385500f212a442cd944c89c8200476e5\first_speaker.wav,train\385500f212a442cd944c89c8200476e5\second_speaker.wav,18.0
train\04d9f8f2d5184425b24bbbfaa3fb2726\mix_audio.wav,train\04d9f8f2d5184425b24bbbfaa3fb2726\first_speaker.wav,train\04d9f8f2d5184425b24bbbfaa3fb2726\second_speaker.wav,20.0
train\ed2cab187b9a43f8bda8eecc32bf7464\mix_audio.wav,train\ed2cab187b9a43f8bda8eecc32bf7464\first_speaker.wav,train\ed2cab187b9a43f8bda8eecc32bf7464\second_speaker.wav,15.0
train\e28558727c92420da41f8876766406ae\mix_audio.wav,train\e28558727c92420da41f8876766406ae\first_speaker.wav,train\e28558727c92420da41f8876766406ae\second_speaker.wav,17.0
train\8d2b30f37bfa4d559fae370ee3e38ef6\mix_audio.wav,train\8d2b30f37bfa4d559fae370ee3e38ef6\first_speaker.wav,train\8d2b30f37bfa4d559fae370ee3e38ef6\second_speaker.wav,20.0
train\4e0a63db49db444d8a311c2d4d7b4bf1\mix_audio.wav,train\4e0a63db49db444d8a311c2d4d7b4bf1\first_speaker.wav,train\4e0a63db49db444d8a311c2d4d7b4bf1\second_speaker.wav,18.0
train\495472dfa59841fb831f29abbfdb26e2\mix_audio.wav,train\495472dfa59841fb831f29abbfdb26e2\first_speaker.wav,train\495472dfa59841fb831f29abbfdb26e2\second_speaker.wav,15.0
train\b6990953fb8f4ef99db79fda6c18ee75\mix_audio.wav,train\b6990953fb8f4ef99db79fda6c18ee75\first_speaker.wav,train\b6990953fb8f4ef99db79fda6c18ee75\second_speaker.wav,15.0
train\2dbd8fee77814290b6c27024ae0d5dd0\mix_audio.wav,train\2dbd8fee77814290b6c27024ae0d5dd0\first_speaker.wav,train\2dbd8fee77814290b6c27024ae0d5dd0\second_speaker.wav,16.0
train\9f74921f38944740b3d0e2a294115e8b\mix_audio.wav,train\9f74921f38944740b3d0e2a294115e8b\first_speaker.wav,train\9f74921f38944740b3d0e2a294115e8b\second_speaker.wav,20.0
train\103eda6b82a245188e8beb3cacf99140\mix_audio.wav,train\103eda6b82a245188e8beb3cacf99140\first_speaker.wav,train\103eda6b82a245188e8beb3cacf99140\second_speaker.wav,16.0
train\e5958a23b3a646f092fc4a2bcd6bf563\mix_audio.wav,train\e5958a23b3a646f092fc4a2bcd6bf563\first_speaker.wav,train\e5958a23b3a646f092fc4a2bcd6bf563\second_speaker.wav,18.0
train\a82c0bcfd17a4830914092ad6c7245e8\mix_audio.wav,train\a82c0bcfd17a4830914092ad6c7245e8\first_speaker.wav,train\a82c0bcfd17a4830914092ad6c7245e8\second_speaker.wav,17.0
train\88b270106b86463dbdfe05113d508b25\mix_audio.wav,train\88b270106b86463dbdfe05113d508b25\first_speaker.wav,train\88b270106b86463dbdfe05113d508b25\second_speaker.wav,20.0
train\6f46d21dadad4cfa87428703f34f7400\mix_audio.wav,train\6f46d21dadad4cfa87428703f34f7400\first_speaker.wav,train\6f46d21dadad4cfa87428703f34f7400\second_speaker.wav,15.0
train\1a84b37b281c474795f9e3b5b246dbb7\mix_audio.wav,train\1a84b37b281c474795f9e3b5b246dbb7\first_speaker.wav,train\1a84b37b281c474795f9e3b5b246dbb7\second_speaker.wav,15.0
train\2d3b95fe1aef422d82f38ea8c0400cac\mix_audio.wav,train\2d3b95fe1aef422d82f38ea8c0400cac\first_speaker.wav,train\2d3b95fe1aef422d82f38ea8c0400cac\second_speaker.wav,16.0
train\25a8023854494da3af9f66c47a972c70\mix_audio.wav,train\25a8023854494da3af9f66c47a972c70\first_speaker.wav,train\25a8023854494da3af9f66c47a972c70\second_speaker.wav,16.0
train\d0da20e3a9de47f3bc788398e0d8a52a\mix_audio.wav,train\d0da20e3a9de47f3bc788398e0d8a52a\first_speaker.wav,train\d0da20e3a9de47f3bc788398e0d8a52a\second_speaker.wav,17.0
train\f35cee465403418d81e89150b1789fb3\mix_audio.wav,train\f35cee465403418d81e89150b1789fb3\first_speaker.wav,train\f35cee465403418d81e89150b1789fb3\second_speaker.wav,20.0
train\ac93ab7fc1f24dbda44a17455d4eb51f\mix_audio.wav,train\ac93ab7fc1f24dbda44a17455d4eb51f\first_speaker.wav,train\ac93ab7fc1f24dbda44a17455d4eb51f\second_speaker.wav,17.0
train\e14dce5ed9d34d8cbef103472a2ccead\mix_audio.wav,train\e14dce5ed9d34d8cbef103472a2ccead\first_speaker.wav,train\e14dce5ed9d34d8cbef103472a2ccead\second_speaker.wav,20.0
train\1fc222370eca43268caef6229ff2828b\mix_audio.wav,train\1fc222370eca43268caef6229ff2828b\first_speaker.wav,train\1fc222370eca43268caef6229ff2828b\second_speaker.wav,18.0
train\642b6bd76021494bbf2f00229d0c936b\mix_audio.wav,train\642b6bd76021494bbf2f00229d0c936b\first_speaker.wav,train\642b6bd76021494bbf2f00229d0c936b\second_speaker.wav,18.0
train\215e9e9606d24d92bc85973f7ddba79e\mix_audio.wav,train\215e9e9606d24d92bc85973f7ddba79e\first_speaker.wav,train\215e9e9606d24d92bc85973f7ddba79e\second_speaker.wav,18.0
train\e8a2728c43524d45858f06e2abb15302\mix_audio.wav,train\e8a2728c43524d45858f06e2abb15302\first_speaker.wav,train\e8a2728c43524d45858f06e2abb15302\second_speaker.wav,16.0
train\ac539486590c41a593c8471f33602835\mix_audio.wav,train\ac539486590c41a593c8471f33602835\first_speaker.wav,train\ac539486590c41a593c8471f33602835\second_speaker.wav,20.0
train\88f2205f3f3d439fa5552ae3ea0c44c8\mix_audio.wav,train\88f2205f3f3d439fa5552ae3ea0c44c8\first_speaker.wav,train\88f2205f3f3d439fa5552ae3ea0c44c8\second_speaker.wav,17.0
train\c6231f9c26444966ac2ba68952abb3cc\mix_audio.wav,train\c6231f9c26444966ac2ba68952abb3cc\first_speaker.wav,train\c6231f9c26444966ac2ba68952abb3cc\second_speaker.wav,15.0
train\c9591bfc74e54583818ebf05ebc2de19\mix_audio.wav,train\c9591bfc74e54583818ebf05ebc2de19\first_speaker.wav,train\c9591bfc74e54583818ebf05ebc2de19\second_speaker.wav,20.0
train\950b2e9515734c118920ec1ea8d4728f\mix_audio.wav,train\950b2e9515734c118920ec1ea8d4728f\first_speaker.wav,train\950b2e9515734c118920ec1ea8d4728f\second_speaker.wav,16.0
train\ca5fbce9a6724317821d2d58b52bdd76\mix_audio.wav,train\ca5fbce9a6724317821d2d58b52bdd76\first_speaker.wav,train\ca5fbce9a6724317821d2d58b52bdd76\second_speaker.wav,15.0
train\d0b276a2b8b940d18dc7dc28dbe8a10a\mix_audio.wav,train\d0b276a2b8b940d18dc7dc28dbe8a10a\first_speaker.wav,train\d0b276a2b8b940d18dc7dc28dbe8a10a\second_speaker.wav,15.0
train\4a2ef1f400bb4e6aadc305725dfd5696\mix_audio.wav,train\4a2ef1f400bb4e6aadc305725dfd5696\first_speaker.wav,train\4a2ef1f400bb4e6aadc305725dfd5696\second_speaker.wav,17.0
train\d2eac75f448544988369229d6dd54478\mix_audio.wav,train\d2eac75f448544988369229d6dd54478\first_speaker.wav,train\d2eac75f448544988369229d6dd54478\second_speaker.wav,18.0
train\0e82ab578ca447faaae9a8b890aec6fe\mix_audio.wav,train\0e82ab578ca447faaae9a8b890aec6fe\first_speaker.wav,train\0e82ab578ca447faaae9a8b890aec6fe\second_speaker.wav,18.0
train\453e146dc1ea4713b6f355fabc1524d2\mix_audio.wav,train\453e146dc1ea4713b6f355fabc1524d2\first_speaker.wav,train\453e146dc1ea4713b6f355fabc1524d2\second_speaker.wav,20.0
train\ab790d692c614d4e9aabaf6108b4133c\mix_audio.wav,train\ab790d692c614d4e9aabaf6108b4133c\first_speaker.wav,train\ab790d692c614d4e9aabaf6108b4133c\second_speaker.wav,19.0
train\4153c335d59641afa06c3cde76dafb69\mix_audio.wav,train\4153c335d59641afa06c3cde76dafb69\first_speaker.wav,train\4153c335d59641afa06c3cde76dafb69\second_speaker.wav,18.0
train\e5c035ccf9564939bcb6800c171a1abb\mix_audio.wav,train\e5c035ccf9564939bcb6800c171a1abb\first_speaker.wav,train\e5c035ccf9564939bcb6800c171a1abb\second_speaker.wav,17.0
train\acfcee261699479a97ab897e7d480904\mix_audio.wav,train\acfcee261699479a97ab897e7d480904\first_speaker.wav,train\acfcee261699479a97ab897e7d480904\second_speaker.wav,15.0
train\66cd1d1c0b7f49fdb69a888a8b68314c\mix_audio.wav,train\66cd1d1c0b7f49fdb69a888a8b68314c\first_speaker.wav,train\66cd1d1c0b7f49fdb69a888a8b68314c\second_speaker.wav,15.0
train\e048fe8980ec451b87610c9c7ac21108\mix_audio.wav,train\e048fe8980ec451b87610c9c7ac21108\first_speaker.wav,train\e048fe8980ec451b87610c9c7ac21108\second_speaker.wav,17.0
train\3e9b1d167404474fa5fff1d651c7d263\mix_audio.wav,train\3e9b1d167404474fa5fff1d651c7d263\first_speaker.wav,train\3e9b1d167404474fa5fff1d651c7d263\second_speaker.wav,15.0
train\adce038bc952414ca51e7b29cdd742e6\mix_audio.wav,train\adce038bc952414ca51e7b29cdd742e6\first_speaker.wav,train\adce038bc952414ca51e7b29cdd742e6\second_speaker.wav,17.0
train\75ac658ecc2a4a7982e4ff00c4c888df\mix_audio.wav,train\75ac658ecc2a4a7982e4ff00c4c888df\first_speaker.wav,train\75ac658ecc2a4a7982e4ff00c4c888df\second_speaker.wav,18.0
train\16e66305c68941f2a0cdcf4f3225e20f\mix_audio.wav,train\16e66305c68941f2a0cdcf4f3225e20f\first_speaker.wav,train\16e66305c68941f2a0cdcf4f3225e20f\second_speaker.wav,18.0
train\84048dd95c6d4e8986c8239ac8721392\mix_audio.wav,train\84048dd95c6d4e8986c8239ac8721392\first_speaker.wav,train\84048dd95c6d4e8986c8239ac8721392\second_speaker.wav,15.0
train\44dda9c4f06444dea85db36ed7596577\mix_audio.wav,train\44dda9c4f06444dea85db36ed7596577\first_speaker.wav,train\44dda9c4f06444dea85db36ed7596577\second_speaker.wav,20.0
train\25fbd2d162d74494877613e40c2f7652\mix_audio.wav,train\25fbd2d162d74494877613e40c2f7652\first_speaker.wav,train\25fbd2d162d74494877613e40c2f7652\second_speaker.wav,16.0
train\9364605d2e47475c8e0dcae3897ca54f\mix_audio.wav,train\9364605d2e47475c8e0dcae3897ca54f\first_speaker.wav,train\9364605d2e47475c8e0dcae3897ca54f\second_speaker.wav,18.0
train\8c73ab06cd5141b38fcdf260289d201c\mix_audio.wav,train\8c73ab06cd5141b38fcdf260289d201c\first_speaker.wav,train\8c73ab06cd5141b38fcdf260289d201c\second_speaker.wav,17.0
train\5cd5905c8ea84fae949fe84689379a55\mix_audio.wav,train\5cd5905c8ea84fae949fe84689379a55\first_speaker.wav,train\5cd5905c8ea84fae949fe84689379a55\second_speaker.wav,16.0
train\8d66cbc7e9e14f4a993a7c99cf6365c7\mix_audio.wav,train\8d66cbc7e9e14f4a993a7c99cf6365c7\first_speaker.wav,train\8d66cbc7e9e14f4a993a7c99cf6365c7\second_speaker.wav,20.0
train\897e4f0dd09241cb946b694ec771dc6f\mix_audio.wav,train\897e4f0dd09241cb946b694ec771dc6f\first_speaker.wav,train\897e4f0dd09241cb946b694ec771dc6f\second_speaker.wav,15.0
train\8ee69d11da7e47be947c7867e5aa3e21\mix_audio.wav,train\8ee69d11da7e47be947c7867e5aa3e21\first_speaker.wav,train\8ee69d11da7e47be947c7867e5aa3e21\second_speaker.wav,15.0
train\e84cd80a897a41fdb2cec49aa9de8d2e\mix_audio.wav,train\e84cd80a897a41fdb2cec49aa9de8d2e\first_speaker.wav,train\e84cd80a897a41fdb2cec49aa9de8d2e\second_speaker.wav,18.0
train\e0dd9d8b1c694553bf66fd1178337bfe\mix_audio.wav,train\e0dd9d8b1c694553bf66fd1178337bfe\first_speaker.wav,train\e0dd9d8b1c694553bf66fd1178337bfe\second_speaker.wav,17.0
train\fe3257e8bebe45b2b3d9286825a36a32\mix_audio.wav,train\fe3257e8bebe45b2b3d9286825a36a32\first_speaker.wav,train\fe3257e8bebe45b2b3d9286825a36a32\second_speaker.wav,18.0
train\155cc01907b54baa8d233bba5a646163\mix_audio.wav,train\155cc01907b54baa8d233bba5a646163\first_speaker.wav,train\155cc01907b54baa8d233bba5a646163\second_speaker.wav,16.0
train\71d66570aaf94ce582b947923bc7c5f0\mix_audio.wav,train\71d66570aaf94ce582b947923bc7c5f0\first_speaker.wav,train\71d66570aaf94ce582b947923bc7c5f0\second_speaker.wav,19.0
